event_url,event_name,cancelled,series_event,listing_date_text,start_date,end_date,listing_year,competition_group_raw,competition_group,team_count,division,gender_raw,gender,schedule_url
https://play.usaultimate.org/events/Nuccis-Cup-2018,Nucci's Cup 2018,False,False,"Aug 11, 2018 - Aug 12, 2018",2018-08-11,2018-08-12,2018,Club - Men [12],Club - Men,12,Club,Men,Men,https://play.usaultimate.org/events/Nuccis-Cup-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Old-Line-Classic-2018-,Old Line Classic 2018,False,False,"Jul 14, 2018 - Jul 15, 2018",2018-07-14,2018-07-15,2018,Club - Women [7],Club - Women,7,Club,Women,Women,https://play.usaultimate.org/events/Old-Line-Classic-2018-/schedule/women/Club-Women/
https://play.usaultimate.org/events/Oregon-Mens-Sectional-Championship-2018,Oregon Men's Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Men [5],Club - Men,5,Club,Men,Men,https://play.usaultimate.org/events/Oregon-Mens-Sectional-Championship-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Oregon-Mixed-Sectional-Championship-2018,Oregon Mixed Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Mixed [10],Club - Mixed,10,Club,Mixed,Mixed,https://play.usaultimate.org/events/Oregon-Mixed-Sectional-Championship-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Oregon-Womens-Sectional-Championship-2018,Oregon Women's Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Women [0],Club - Women,0,Club,Women,Women,https://play.usaultimate.org/events/Oregon-Womens-Sectional-Championship-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/Oshadega-Ultimate-Invite-2018,Oshadega Ultimate Invite 2018,False,False,"Aug 18, 2018 - Aug 19, 2018",2018-08-18,2018-08-19,2018,Club - Men [6],Club - Men,6,Club,Men,Men,https://play.usaultimate.org/events/Oshadega-Ultimate-Invite-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Ozarks-Mens-Sectional-Championship-2018,Ozarks Men's Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Men [3],Club - Men,3,Club,Men,Men,https://play.usaultimate.org/events/Ozarks-Mens-Sectional-Championship-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Ozarks-Mixed-Sectional-Championship-2018,Ozarks Mixed Sectional Championship,False,True,"Sep 08, 2018",2018-09-08,2018-09-08,2018,Club - Mixed [3],Club - Mixed,3,Club,Mixed,Mixed,https://play.usaultimate.org/events/Ozarks-Mixed-Sectional-Championship-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Ozarks-Womens-Sectional-Championship-2018,Ozarks Women's Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Women [0],Club - Women,0,Club,Women,Women,https://play.usaultimate.org/events/Ozarks-Womens-Sectional-Championship-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/PBJ-2018,PB&J 2018,False,False,"Aug 04, 2018 - Aug 05, 2018",2018-08-04,2018-08-05,2018,Club - Mixed [8],Club - Mixed,8,Club,Mixed,Mixed,https://play.usaultimate.org/events/PBJ-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/PBJ-2018,PB&J 2018,False,False,"Aug 04, 2018 - Aug 05, 2018",2018-08-04,2018-08-05,2018,Club - Men [12],Club - Men,12,Club,Men,Men,https://play.usaultimate.org/events/PBJ-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Philly-Invite-2018-,Philly Invite 2018,False,False,"Jul 07, 2018 - Jul 08, 2018",2018-07-07,2018-07-08,2018,Club - Mixed [20],Club - Mixed,20,Club,Mixed,Mixed,https://play.usaultimate.org/events/Philly-Invite-2018-/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Philly-Open-2018,Philly Open 2018,False,False,"Aug 11, 2018 - Aug 12, 2018",2018-08-11,2018-08-12,2018,Club - Women [5],Club - Women,5,Club,Women,Women,https://play.usaultimate.org/events/Philly-Open-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/Philly-Open-2018,Philly Open 2018,False,False,"Aug 11, 2018 - Aug 12, 2018",2018-08-11,2018-08-12,2018,Club - Mixed [11],Club - Mixed,11,Club,Mixed,Mixed,https://play.usaultimate.org/events/Philly-Open-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Revolution-2018,Revolution 2018,False,False,"Jul 21, 2018 - Jul 22, 2018",2018-07-21,2018-07-22,2018,Club - Mixed [32],Club - Mixed,32,Club,Mixed,Mixed,https://play.usaultimate.org/events/Revolution-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Riverside-Classic-2018,Riverside Classic 2018,False,False,"Aug 18, 2018 - Aug 19, 2018",2018-08-18,2018-08-19,2018,Club - Men [9],Club - Men,9,Club,Men,Men,https://play.usaultimate.org/events/Riverside-Classic-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Riverside-Classic-2018,Riverside Classic 2018,False,False,"Aug 18, 2018 - Aug 19, 2018",2018-08-18,2018-08-19,2018,Club - Mixed [9],Club - Mixed,9,Club,Mixed,Mixed,https://play.usaultimate.org/events/Riverside-Classic-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Rocky-Mountain-Mens-Sectional-Championship-2018,Rocky Mountain Men's Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Men [6],Club - Men,6,Club,Men,Men,https://play.usaultimate.org/events/Rocky-Mountain-Mens-Sectional-Championship-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Rocky-Mountain-Mixed-Sectional-Championship-2018,Rocky Mountain Mixed Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Mixed [8],Club - Mixed,8,Club,Mixed,Mixed,https://play.usaultimate.org/events/Rocky-Mountain-Mixed-Sectional-Championship-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Rocky-Mountain-Womens-Sectional-Championship-2018,Rocky Mountain Women's Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Women [3],Club - Women,3,Club,Women,Women,https://play.usaultimate.org/events/Rocky-Mountain-Womens-Sectional-Championship-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/Rose-City-Rumble-2,Rose City Rumble 2,False,False,"Jul 07, 2018 - Jul 08, 2018",2018-07-07,2018-07-08,2018,Club - Mixed [5],Club - Mixed,5,Club,Mixed,Mixed,https://play.usaultimate.org/events/Rose-City-Rumble-2/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/Rush-Hour-Round-Robin-2018,Rush Hour Round Robin 2018,False,False,"Aug 25, 2018 - Aug 26, 2018",2018-08-25,2018-08-26,2018,Club - Men [7],Club - Men,7,Club,Men,Men,https://play.usaultimate.org/events/Rush-Hour-Round-Robin-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Rutabaga-Rebellion,Rutabaga Rebellion,False,False,"Aug 25, 2018 - Aug 26, 2018",2018-08-25,2018-08-26,2018,Club - Men [5],Club - Men,5,Club,Men,Men,https://play.usaultimate.org/events/Rutabaga-Rebellion/schedule/men/Club-Men/
https://play.usaultimate.org/events/Sectional-Sanction-Upstate-NY-2018,Sectional Sanction Upstate NY 2018,False,False,"Aug 25, 2018 - Aug 26, 2018",2018-08-25,2018-08-26,2018,Club - Men [5],Club - Men,5,Club,Men,Men,https://play.usaultimate.org/events/Sectional-Sanction-Upstate-NY-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/Sectional-Sanction-Upstate-NY-2018,Sectional Sanction Upstate NY 2018,False,False,"Aug 25, 2018 - Aug 26, 2018",2018-08-25,2018-08-26,2018,Club - Mixed [6],Club - Mixed,6,Club,Mixed,Mixed,https://play.usaultimate.org/events/Sectional-Sanction-Upstate-NY-2018/schedule/mixed/Club-Mixed/
